face,x_over_c,y_over_c,z,Cp
270,0.18307,0.05628609999999999,0.0,-0.39293823
271,0.18532300000000002,0.056443850000000004,0.0,-0.39210348
272,0.1875775,0.0565976,0.0,-0.39119016
273,0.189834,0.0567474,0.0,-0.39033965
274,0.19209199999999998,0.05689325,0.0,-0.38941494
275,0.19435049999999998,0.05703515,0.0,-0.38852415
276,0.19661,0.05717315,0.0,-0.38756951
277,0.19887,0.0573073,0.0,-0.38666484
278,0.20133800000000002,0.0574492,0.0,-0.38550061
279,0.2040135,0.0575982,0.0,-0.38440214
280,0.206689,0.057742,0.0,-0.3832754
281,0.2093645,0.0578807,0.0,-0.38203503
282,0.21204,0.05801435,0.0,-0.38090013
283,0.21471600000000002,0.05814299999999999,0.0,-0.37964014
284,0.21739150000000002,0.05826674999999999,0.0,-0.37839229
285,0.220067,0.05838565,0.0,-0.37717268
286,0.22274249999999998,0.058499800000000005,0.0,-0.37586177
287,0.225418,0.0586093,0.0,-0.37464104
288,0.2280935,0.05871415,0.0,-0.37332069
289,0.230769,0.05881445,0.0,-0.37204993
290,0.233445,0.0589103,0.0,-0.37074045
291,0.2361205,0.059001700000000004,0.0,-0.36940682
292,0.238796,0.0590887,0.0,-0.3681258
293,0.24147149999999998,0.0591714,0.0,-0.3667191
294,0.244147,0.0592499,0.0,-0.36542827
295,0.24682300000000001,0.0593242,0.0,-0.36406186
296,0.24949849999999998,0.059394300000000004,0.0,-0.36268006
297,0.252174,0.059460349999999995,0.0,-0.36130612
298,0.2548495,0.0595224,0.0,-0.35992622
299,0.257525,0.05958045,0.0,-0.35856707
300,0.2602005,0.05963455,0.0,-0.35713435
301,0.262876,0.05968475,0.0,-0.35575435
302,0.265552,0.05973115,0.0,-0.35431727
303,0.2682275,0.0597738,0.0,-0.35290953
304,0.270903,0.059812699999999996,0.0,-0.35149884
305,0.2735785,0.059847899999999996,0.0,-0.35006336
306,0.276254,0.0598795,0.0,-0.3486369
307,0.27893,0.05990745,0.0,-0.347195
308,0.2816055,0.059931849999999995,0.0,-0.34574245
309,0.284281,0.05995275,0.0,-0.34429473
310,0.2869565,0.05997015,0.0,-0.34282561
311,0.289632,0.05998415,0.0,-0.34136836
312,0.2923075,0.05999475,0.0,-0.33990825
313,0.294983,0.060002,0.0,-0.33843421
314,0.297659,0.0600059,0.0,-0.33695827
315,0.3003345,0.06000655,0.0,-0.33547976
316,0.30301,0.060004,0.0,-0.33399668
317,0.3056855,0.0599982,0.0,-0.33253367
318,0.308361,0.05998925,0.0,-0.33103217
319,0.311037,0.05997715,0.0,-0.3295401
320,0.3137125,0.05996195,0.0,-0.32805633
321,0.316388,0.0599437,0.0,-0.32652963
322,0.3190635,0.05992245,0.0,-0.32505492
323,0.321739,0.0598982,0.0,-0.32354343
324,0.324415,0.059870950000000006,0.0,-0.32203656
325,0.3270905,0.059840800000000006,0.0,-0.320532
326,0.329766,0.05980775000000001,0.0,-0.31901622
327,0.3324415,0.0597718,0.0,-0.3175087
328,0.335117,0.059733,0.0,-0.31598333
329,0.3377925,0.05969145000000001,0.0,-0.31447044
330,0.340468,0.0596471,0.0,-0.31294839
331,0.343144,0.0596,0.0,-0.31143849
332,0.3458195,0.0595502,0.0,-0.3099237
333,0.348495,0.05949765,0.0,-0.30840094
334,0.3511705,0.059442449999999994,0.0,-0.3068718
335,0.353846,0.05938465,0.0,-0.30534097
336,0.356522,0.05932425,0.0,-0.30383785
337,0.3591975,0.05926125,0.0,-0.30232684
338,0.361873,0.05919565,0.0,-0.30077092
339,0.3645485,0.0591275,0.0,-0.29925786
340,0.367224,0.059056899999999996,0.0,-0.29769407
341,0.3698995,0.0589838,0.0,-0.29620102
342,0.372575,0.05890825000000001,0.0,-0.2946421
343,0.375251,0.0588303,0.0,-0.2931356
344,0.3779265,0.05874985,0.0,-0.29161447
345,0.380602,0.05866705,0.0,-0.29004284
346,0.3832775,0.05858189999999999,0.0,-0.28854967
347,0.385953,0.0584944,0.0,-0.28697469
348,0.388629,0.0584046,0.0,-0.28546878
349,0.3913045,0.0583125,0.0,-0.283953
350,0.39398,0.05821815,0.0,-0.28239874
351,0.3966555,0.058121500000000006,0.0,-0.28089229
352,0.399331,0.05802265,0.0,-0.27934806
353,0.4020065,0.057921600000000004,0.0,-0.27783484
354,0.404682,0.0578183,0.0,-0.27628959
355,0.407358,0.057712849999999996,0.0,-0.27475219
356,0.4100335,0.0576053,0.0,-0.2732524
357,0.412709,0.057495599999999994,0.0,-0.27168728
358,0.4153845,0.0573838,0.0,-0.2701973
359,0.41806,0.0572699,0.0,-0.26863329
360,0.420736,0.057153899999999994,0.0,-0.2671234
361,0.4234115,0.0570359,0.0,-0.26560724
362,0.426087,0.056915850000000004,0.0,-0.2640494
363,0.4287625,0.056793750000000004,0.0,-0.26255631
364,0.431438,0.0566697,0.0,-0.26099812
365,0.434114,0.05654365,0.0,-0.25949692
366,0.4367895,0.05641565,0.0,-0.25797807
367,0.439465,0.056285699999999994,0.0,-0.25643324
368,0.4421405,0.056153800000000004,0.0,-0.25493265
369,0.444816,0.05602005,0.0,-0.25338156
370,0.4474915,0.0558844,0.0,-0.25191112
371,0.450167,0.05574685,0.0,-0.25036444
372,0.452843,0.0556074,0.0,-0.24885004
373,0.4555185,0.055466150000000006,0.0,-0.24735458
374,0.458194,0.0553231,0.0,-0.24581556
375,0.4608695,0.0551782,0.0,-0.24433252
376,0.463545,0.0550315,0.0,-0.24278424
377,0.466221,0.054883,0.0,-0.24129076
378,0.4688965,0.054732750000000004,0.0,-0.23979045
379,0.471572,0.05458075,0.0,-0.23824127
380,0.4742475,0.054427,0.0,-0.23676651
381,0.476923,0.05427155,0.0,-0.23521212
382,0.4795985,0.0541144,0.0,-0.23375124
383,0.482274,0.053955550000000005,0.0,-0.23220613
384,0.48495,0.053794999999999996,0.0,-0.23072166
385,0.4876255,0.0536328,0.0,-0.2292245
386,0.490301,0.05346895,0.0,-0.2277019
387,0.4929765,0.05330345,0.0,-0.22622455
388,0.495652,0.05313635,0.0,-0.22469364
389,0.498328,0.052967600000000004,0.0,-0.22321412
390,0.5010035,0.052797250000000004,0.0,-0.22173805
391,0.503679,0.0526253,0.0,-0.22019443
392,0.5063545,0.05245175,0.0,-0.21872154
393,0.5090300000000001,0.052276699999999995,0.0,-0.21719959
394,0.5117055,0.0521001,0.0,-0.21574524
395,0.514381,0.051921949999999994,0.0,-0.21422346
396,0.5170570000000001,0.051742250000000004,0.0,-0.21274511
397,0.5197325,0.051561,0.0,-0.2112768
398,0.522408,0.0513783,0.0,-0.209735
399,0.5250835,0.051194100000000006,0.0,-0.20829497
400,0.5277590000000001,0.051008399999999995,0.0,-0.20676847
401,0.530435,0.05082125,0.0,-0.20529223
402,0.5331105,0.0506326,0.0,-0.2038423
403,0.5357860000000001,0.0504425,0.0,-0.20229108
404,0.5384615,0.050251000000000004,0.0,-0.20085864
405,0.541137,0.05005805,0.0,-0.19932494
406,0.5438130000000001,0.049863649999999995,0.0,-0.19786089
407,0.5464885,0.0496679,0.0,-0.19640307
408,0.549164,0.04947075,0.0,-0.19487729
409,0.5518395,0.04927215,0.0,-0.19344804
410,0.5545150000000001,0.049072199999999996,0.0,-0.19190612
411,0.5571905,0.048870899999999995,0.0,-0.19047398
412,0.559866,0.0486682,0.0,-0.18896219
413,0.5625420000000001,0.04846415,0.0,-0.18749344
414,0.5652175,0.04825875,0.0,-0.18603793
415,0.567893,0.048052,0.0,-0.1844998
416,0.5705685,0.047843949999999996,0.0,-0.18307413
417,0.5732440000000001,0.0476346,0.0,-0.1815538
418,0.57592,0.04742395,0.0,-0.18010109
419,0.5785955,0.04721195,0.0,-0.17865151
420,0.5812710000000001,0.04699865,0.0,-0.1771082
421,0.5839465,0.0467841,0.0,-0.17569496
422,0.586622,0.0465683,0.0,-0.17416334
423,0.5892975,0.046351199999999995,0.0,-0.17274269
424,0.5919730000000001,0.0461328,0.0,-0.17120756
425,0.594649,0.0459132,0.0,-0.16976267
426,0.5973245,0.04569234999999999,0.0,-0.16830539
427,0.6000000000000001,0.045470250000000004,0.0,-0.16677844
428,0.6026755,0.0452469,0.0,-0.16534911
429,0.605351,0.04502235,0.0,-0.16382306
430,0.6080270000000001,0.0447966,0.0,-0.16237311
431,0.6107025,0.0445696,0.0,-0.16091593
432,0.613378,0.0443414,0.0,-0.15938596
433,0.6160535,0.044112,0.0,-0.15795653
434,0.6187290000000001,0.0438814,0.0,-0.15642057
