# NACA0012 V9 SST AoA = 14.5 deg
# x/c          y/c          Cp
0.4702340000  0.0546572000  -0.6192160000
0.4729100000  0.0545043000  -0.6134186667
0.4755850000  0.0543497000  -0.6076533333
0.4782610000  0.0541934000  -0.6019217778
0.4809360000  0.0540354000  -0.5962257778
0.4836120000  0.0538757000  -0.5905520000
0.4862880000  0.0537143000  -0.5849244444
0.4889630000  0.0535513000  -0.5793155556
0.4916390000  0.0533866000  -0.5737431111
0.4943140000  0.0532203000  -0.5681991111
0.4969900000  0.0530524000  -0.5626817778
0.4996660000  0.0528828000  -0.5572071111
0.5023410000  0.0527117000  -0.5517448889
0.5050170000  0.0525389000  -0.5463137778
0.5076920000  0.0523646000  -0.5409155556
0.5103680000  0.0521888000  -0.5355457778
0.5130430000  0.0520114000  -0.5302071111
0.5157190000  0.0518325000  -0.5248862222
0.5183950000  0.0516520000  -0.5196062222
0.5210700000  0.0514700000  -0.5143377778
0.5237460000  0.0512866000  -0.5091031111
0.5264210000  0.0511016000  -0.5038986667
0.5290970000  0.0509152000  -0.4987084444
0.5317730000  0.0507273000  -0.4935644444
0.5344480000  0.0505379000  -0.4884284444
0.5371240000  0.0503471000  -0.4833208889
0.5397990000  0.0501549000  -0.4782435556
0.5424750000  0.0499612000  -0.4731813333
0.5451510000  0.0497661000  -0.4681600000
0.5478260000  0.0495697000  -0.4631493333
0.5505020000  0.0493718000  -0.4581706667
0.5531770000  0.0491725000  -0.4532115556
0.5558530000  0.0489719000  -0.4482746667
0.5585280000  0.0487699000  -0.4433697778
0.5612040000  0.0485665000  -0.4384773333
0.5638800000  0.0483618000  -0.4336213333
0.5665550000  0.0481557000  -0.4287742222
0.5692310000  0.0479483000  -0.4239564444
0.5719060000  0.0477396000  -0.4191635556
0.5745820000  0.0475296000  -0.4143857778
0.5772580000  0.0473183000  -0.4096453333
0.5799330000  0.0471056000  -0.4049102222
0.5826090000  0.0468917000  -0.4002062222
0.5852840000  0.0466765000  -0.3955262222
0.5879600000  0.0464601000  -0.3908640000
0.5906350000  0.0462423000  -0.3862266667
0.5933110000  0.0460233000  -0.3816053333
0.5959870000  0.0458031000  -0.3770204444
0.5986620000  0.0455816000  -0.3724426667
0.6013380000  0.0453589000  -0.3678915556
0.6040130000  0.0451349000  -0.3633644444
0.6066890000  0.0449098000  -0.3588524444
0.6093650000  0.0446834000  -0.3543742222
0.6120400000  0.0444558000  -0.3499048889
0.6147160000  0.0442270000  -0.3454622222
0.6173910000  0.0439970000  -0.3410408889
0.6200670000  0.0437658000  -0.3366382222
0.6227420000  0.0435334000  -0.3322613333
0.6254180000  0.0432999000  -0.3278986667
0.6280940000  0.0430651000  -0.3235697778
0.6307690000  0.0428293000  -0.3192515556
0.6334450000  0.0425922000  -0.3149582222
0.6361200000  0.0423540000  -0.3106888889
0.6387960000  0.0421147000  -0.3064337778
0.6414720000  0.0418742000  -0.3022133333
0.6441470000  0.0416326000  -0.2980035556
0.6468230000  0.0413898000  -0.2938186667
0.6494980000  0.0411459000  -0.2896551111
0.6521740000  0.0409009000  -0.2855146667
0.6548490000  0.0406548000  -0.2813982222
0.6575250000  0.0404075000  -0.2772968889
0.6602010000  0.0401592000  -0.2732293333
0.6628760000  0.0399097000  -0.2691742222
0.6655520000  0.0396591000  -0.2651448889
0.6682270000  0.0394075000  -0.2611386667
0.6709030000  0.0391547000  -0.2571511111
0.6735790000  0.0389009000  -0.2531955556
0.6762540000  0.0386460000  -0.2492551111
0.6789300000  0.0383900000  -0.2453404444
0.6816050000  0.0381329000  -0.2414480000
0.6842810000  0.0378747000  -0.2375742222
0.6869570000  0.0376155000  -0.2337351111
0.6896320000  0.0373552000  -0.2299084444
0.6923080000  0.0370938000  -0.2261111111
0.6949830000  0.0368314000  -0.2223360000
0.6976590000  0.0365679000  -0.2185848889
0.7003340000  0.0363034000  -0.2148604444
0.7030100000  0.0360378000  -0.2111564444
0.7056860000  0.0357712000  -0.2074871111
0.7083610000  0.0355035000  -0.2038311111
0.7110370000  0.0352348000  -0.2002053333
0.7137120000  0.0349650000  -0.1966062222
0.7163880000  0.0346942000  -0.1930275556
0.7190640000  0.0344224000  -0.1894844444
0.7217390000  0.0341495000  -0.1859582222
0.7244150000  0.0338756000  -0.1824604444
0.7270900000  0.0336006000  -0.1789902222
0.7297660000  0.0333247000  -0.1755466667
0.7324410000  0.0330477000  -0.1721297778
0.7351170000  0.0327696000  -0.1687360000
0.7377930000  0.0324906000  -0.1653777778
0.7404680000  0.0322105000  -0.1620391111
0.7431440000  0.0319294000  -0.1587306667
0.7458190000  0.0316473000  -0.1554506667
0.7484950000  0.0313641000  -0.1521946667
