face,surface,x,y,z,wss_x,wss_y,wss_z,tangent_x,tangent_y,tau_t_attached
256,upper,0.1518845,0.05364025,0.0,-0.705182,-0.069838672,0.0,0.9950562606529044,0.09931282966192723,0.7086316401358876
257,upper,0.15408100000000002,0.053857,0.0,-0.69945215,-0.067793413,-1.8462423e-22,0.9952761535226904,0.09708438715405358,0.7027297273793626
258,upper,0.156284,0.0540694,0.0,-0.69323944,-0.066312274,0.0,0.9954879128535968,0.0948884363997507,0.6964037512273682
259,upper,0.158492,0.054277450000000005,0.0,-0.68760867,-0.062965862,-5.7615827e-17,0.9956908738562504,0.09273447966844017,0.690484783952879
260,upper,0.1607055,0.0544812,0.0,-0.68222157,-0.060926945,6.9249605e-21,0.9958882325687555,0.09059044227224233,0.6849358324614281
261,upper,0.1629245,0.05468065,0.0,-0.67603108,-0.060306376,5.6358884e-17,0.9960774734038006,0.08848540544915386,0.6787155642403717
262,upper,0.1651475,0.0548758,0.0,-0.67076812,-0.05743242,5.5733238e-17,0.9962589192846191,0.08641854977863755,0.6732219487684532
263,upper,0.167375,0.055066699999999996,0.0,-0.66509528,-0.056615679,5.5068071e-17,0.9964343886177613,0.08437125802041891,0.667500544760269
264,upper,0.169607,0.055253399999999994,0.0,-0.65989172,-0.053385787,-5.4445816e-17,0.9966026001612309,0.08236053273184678,0.6620466858344958
265,upper,0.1718425,0.055435899999999996,0.0,-0.65442803,-0.0528158,-5.9889253e-23,0.9967647898253805,0.08037383756151664,0.6565558263086694
266,upper,0.1740815,0.0556142,0.0,-0.64922737,-0.050379855,-6.5500867e-21,0.9969223952585987,0.0783947564053767,0.6511788212283036
267,upper,0.1763245,0.05578835,0.0,-0.64379297,-0.049792871,0.0,0.9970741164401249,0.07644086816058608,0.645715517020562
268,upper,0.1785705,0.055958350000000004,0.0,-0.63859006,-0.047862565,1.7164755e-22,0.997218925713215,0.07452794240673447,0.6403811920920961
269,upper,0.180819,0.05612425,0.0,-0.63373529,-0.045447664,0.0,0.9973575739157579,0.07264894873894348,0.6353624163514399
270,upper,0.18307,0.05628609999999999,0.0,-0.62875502,-0.044902436,5.1268679e-17,0.9974918674469443,0.07078117247691963,0.6303562661335907
271,upper,0.18532300000000002,0.056443850000000004,0.0,-0.62384566,-0.042326893,5.0790323e-17,0.9976206273901264,0.06894261240865907,0.6252794253023692
272,upper,0.1875775,0.0565976,0.0,-0.61896779,-0.041898109,1.0075528e-16,0.9977436161421472,0.0671392318066835,0.6203841679225259
273,upper,0.189834,0.0567474,0.0,-0.61436828,-0.04023873,2.6422555e-23,0.9978624698900068,0.06534899528696057,0.6156846098799985
274,upper,0.19209199999999998,0.05689325,0.0,-0.60949521,-0.038992858,9.8859309e-17,0.9979766222541371,0.0635819269464465,0.610741212004665
275,upper,0.19435049999999998,0.05703515,0.0,-0.60490605,-0.03720621,-4.8994687e-17,0.9980864694461176,0.06183364382425112,0.606049139328287
276,upper,0.19661,0.05717315,0.0,-0.60027132,-0.0366237,9.7173849e-17,0.998191881987288,0.060107958996092184,0.6013873344716788
277,upper,0.19887,0.0573073,0.0,-0.59553735,-0.035068613,9.6338853e-17,0.9982998707601042,0.058286945711363385,0.5965689018799186
278,upper,0.20133800000000002,0.0574492,0.0,-0.59040814,-0.034119841,-8.0583138e-17,0.9984044897151652,0.05646658229962972,0.5913927685502566
279,upper,0.2040135,0.0575982,0.0,-0.58575313,-0.032495359,0.0,0.9985062829825724,0.05463700984064666,0.5866536298311659
280,upper,0.206689,0.057742,0.0,-0.58053085,-0.030851654,7.8913455e-17,0.9986093100455609,0.052720450399526775,0.5813500246731134
281,upper,0.2093645,0.0578807,0.0,-0.5755384,-0.028931698,7.824981e-17,0.9987072573433905,0.05083123183282943,0.5762650108081586
282,upper,0.21204,0.05801435,0.0,-0.57063092,-0.028152681,0.0,0.9988009594402978,0.04895552492968005,0.5713249396588327
283,upper,0.21471600000000002,0.05814299999999999,0.0,-0.56550944,-0.026852225,0.0,0.9988896143884404,0.047111975833249525,0.5661465678298918
284,upper,0.21739150000000002,0.05826674999999999,0.0,-0.56084107,-0.025604724,7.6099474e-17,0.9989734229811844,0.04530011233159944,0.5614252203197496
285,upper,0.220067,0.05838565,0.0,-0.55595611,-0.024373908,0.0,0.9990529323189383,0.04351135972284478,0.5564901238149698
286,upper,0.22274249999999998,0.058499800000000005,0.0,-0.55116444,-0.023191986,-3.7333024e-17,0.9991276929933349,0.041759467116046604,0.5516521403738862
287,upper,0.225418,0.0586093,0.0,-0.54652465,-0.022031953,0.0,0.9991986452823317,0.04002583248294936,0.5469685371534507
288,upper,0.2280935,0.05871415,0.0,-0.54191575,-0.021409708,3.6602025e-17,0.9992658839717858,0.038310483292245616,0.5423381372226093
289,upper,0.230769,0.05881445,0.0,-0.53743251,-0.019324283,3.6248093e-17,0.9993289448013487,0.036628678412180385,0.5377796860677934
290,upper,0.233445,0.0589103,0.0,-0.5329034,-0.018770024,0.0,0.9993884048443872,0.03496878983595591,0.5332338438866223
291,upper,0.2361205,0.059001700000000004,0.0,-0.52855925,-0.017743531,-3.5627536e-17,0.9994446996599368,0.033321049228057384,0.528856973938662
292,upper,0.238796,0.0590887,0.0,-0.52414659,-0.016721643,3.5288355e-17,0.9994974996815011,0.03169776223060113,0.5244132448355039
293,upper,0.24147149999999998,0.0591714,0.0,-0.51980086,-0.015767209,1.7488323e-17,0.9995465444734238,0.030111549798003425,0.520039928526293
294,upper,0.244147,0.0592499,0.0,-0.51570947,-0.014989543,-1.731552e-17,0.999592619529365,0.028541110392242823,0.5159271982348927
295,upper,0.24682300000000001,0.0593242,0.0,-0.51148085,-0.013887769,0.0,0.9996361551289724,0.026973271195109217,0.5116693488756306
296,upper,0.24949849999999998,0.059394300000000004,0.0,-0.5072673,-0.01332756,1.6992693e-17,0.9996764625277117,0.025435610236057313,0.5074421746415411
297,upper,0.252174,0.059460349999999995,0.0,-0.50319547,-0.011793742,3.3665755e-17,0.9997135744596021,0.023932593699920304,0.5033335968010672
298,upper,0.2548495,0.0595224,0.0,-0.49919451,-0.011109276,0.0,0.9997482195109414,0.022438751852601215,0.49931810084956285
299,upper,0.257525,0.05958045,0.0,-0.49511885,-0.010657254,0.0,0.9997804387935068,0.020954097591233463,0.495233454248307
300,upper,0.2602005,0.05963455,0.0,-0.49121,-0.0094265929,0.0,0.999810091243076,0.019487982155981038,0.4913004201937382
301,upper,0.262876,0.05968475,0.0,-0.48717628,-0.0088495714,1.6260558e-17,0.9998371202549403,0.018048073589950923,0.4872566465675812
302,upper,0.265552,0.05973115,0.0,-0.48330193,-0.0085555689,0.0,0.9998615807113506,0.01663789101417282,0.4833773783135689
303,upper,0.2682275,0.0597738,0.0,-0.47962878,-0.0068912168,-1.5963256e-17,0.9998838892611467,0.015238372485375868,0.47967810087645474
304,upper,0.270903,0.059812699999999996,0.0,-0.47588886,-0.0066360805,0.0,0.9999041319127673,0.013846551331476312,0.47593512427453954
305,upper,0.2735785,0.059847899999999996,0.0,-0.47201177,-0.005932532,-1.5697569e-17,0.9999220883736294,0.012482675294966222,0.4720490486659662
306,upper,0.276254,0.0598795,0.0,-0.46849152,-0.005444055,0.0,0.9999380926597041,0.011127032312041617,0.4685230931119392
307,upper,0.27893,0.05990745,0.0,-0.46477493,-0.0043778184,0.0,0.999952156697654,0.00978183600917776,0.4647955167341679
308,upper,0.2816055,0.059931849999999995,0.0,-0.46110103,-0.0041242629,-7.6403707e-18,0.9999641678255884,0.008465403999719177,0.4611194212991212
309,upper,0.284281,0.05995275,0.0,-0.45758685,-0.0031032471,0.0,0.9999743857901112,0.007157357311860642,0.45759734032270344
310,upper,0.2869565,0.05997015,0.0,-0.45392695,-0.0026883674,0.0,0.9999827833685497,0.005867961016216289,0.45393491014209697
311,upper,0.289632,0.05998415,0.0,-0.45050139,-0.0022222002,0.0,0.9999894327147064,0.004597222957350294,0.450506845373062
312,upper,0.2923075,0.05999475,0.0,-0.44698937,-0.0013603892,0.0,0.999994436181954,0.0033358065195006,0.4469914210276393
313,upper,0.294983,0.060002,0.0,-0.44362542,-0.0011133298,0.0,0.9999978294626393,0.0020835234604334946,0.4436267767432092
314,upper,0.297659,0.0600059,0.0,-0.44017175,-0.00060829657,0.0,0.9999996385555981,0.0008502286004721972,0.4401721080935264
315,upper,0.3003345,0.06000655,0.0,-0.43679523,0.00036980706,0.0,0.9999999369612979,-0.00035507379559439215,0.43679533377379204
316,upper,0.30301,0.060004,0.0,-0.43359957,0.00071375673,0.0,0.9999987824907758,-0.0015604540896645926,0.4336001558731323
317,upper,0.3056855,0.0599982,0.0,-0.43018858,0.001308626,0.0,0.9999962008917517,-0.0027564836410305035,0.4301905528731786
318,upper,0.308361,0.05998925,0.0,-0.42695421,0.0015029639,0.0,0.9999922639707071,-0.003933446165857231,0.42695681889731457
319,upper,0.311037,0.05997715,0.0,-0.4237422,0.002330555,0.0,0.9999869882484416,-0.005101307068893459,0.42374857524846476
320,upper,0.3137125,0.05996195,0.0,-0.42038527,0.0026337765,0.0,0.9999804620218943,-0.006251045870796069,0.42039352037951366
321,upper,0.316388,0.0599437,0.0,-0.41730201,0.0030935851,0.0,0.9999727556440811,-0.007381596682477875,0.417313476473025
322,upper,0.3190635,0.05992245,0.0,-0.4141335,0.0033619289,6.7636261e-18,0.9999638507454391,-0.008502776155657147,0.4141471151115742
323,upper,0.321739,0.0598982,0.0,-0.41100832,0.0041321226,0.0,0.999953697628112,-0.009623024465634622,0.4110290528567931
324,upper,0.324415,0.059870950000000006,0.0,-0.40783959,0.0043898596,0.0,0.9999424818037067,-0.010725347744655675,0.4078632145731664
325,upper,0.3270905,0.059840800000000006,0.0,-0.40478357,0.0046730832,1.3181265e-17,0.9999302588948963,-0.01181005276811005,0.4048105293056821
326,upper,0.329766,0.05980775000000001,0.0,-0.40173116,0.0051993283,0.0,0.999916872613125,-0.012893714111439403,0.4017648037911146
327,upper,0.3324415,0.0597718,0.0,-0.39869162,0.0057131092,-1.2955747e-17,0.999902442886955,-0.013967988713475113,0.398732525441382
