AoA_deg,time,face,x_over_c,y_over_c,z,Cp
0.0,1770,232,0.101637,0.047100699999999995,0.0,-0.404603
0.0,1770,233,0.10361100000000001,0.047425,0.0,-0.40506435
0.0,1770,234,0.1055975,0.04774475,0.0,-0.40551971
0.0,1770,235,0.107596,0.048060000000000005,0.0,-0.40586812
0.0,1770,236,0.10960600000000001,0.048370750000000004,0.0,-0.40619993
0.0,1770,237,0.111628,0.048677,0.0,-0.40642888
0.0,1770,238,0.1136615,0.04897875,0.0,-0.4066705
0.0,1770,239,0.11570550000000002,0.04927595,0.0,-0.40678546
0.0,1770,240,0.11776,0.049568600000000004,0.0,-0.40691855
0.0,1770,241,0.1198255,0.049856750000000005,0.0,-0.4069455
0.0,1770,242,0.1219015,0.0501404,0.0,-0.40692486
0.0,1770,243,0.123987,0.0504195,0.0,-0.40689874
0.0,1770,244,0.126082,0.050694100000000006,0.0,-0.40678093
0.0,1770,245,0.128187,0.05096425,0.0,-0.4067022
0.0,1770,246,0.130301,0.05122985,0.0,-0.40651796
0.0,1770,247,0.1324235,0.051490949999999994,0.0,-0.40627993
0.0,1770,248,0.13455499999999998,0.05174755,0.0,-0.4060538
0.0,1770,249,0.136695,0.0519997,0.0,-0.40575656
0.0,1770,250,0.138843,0.0522474,0.0,-0.40542164
0.0,1770,251,0.1409985,0.0524906,0.0,-0.40506388
0.0,1770,252,0.1431615,0.05272935,0.0,-0.40467765
0.0,1770,253,0.14533200000000002,0.0529637,0.0,-0.40425722
0.0,1770,254,0.14750950000000002,0.05319365,0.0,-0.40380108
0.0,1770,255,0.149694,0.05341915,0.0,-0.40331791
0.0,1770,256,0.1518845,0.05364025,0.0,-0.40277676
0.0,1770,257,0.15408100000000002,0.053857,0.0,-0.40224103
0.0,1770,258,0.156284,0.0540694,0.0,-0.40165842
0.0,1770,259,0.158492,0.054277450000000005,0.0,-0.40109183
0.0,1770,260,0.1607055,0.0544812,0.0,-0.4004099
0.0,1770,261,0.1629245,0.05468065,0.0,-0.39980814
0.0,1770,262,0.1651475,0.0548758,0.0,-0.39908298
0.0,1770,263,0.167375,0.055066699999999996,0.0,-0.39842377
0.0,1770,264,0.169607,0.055253399999999994,0.0,-0.39765281
0.0,1770,265,0.1718425,0.055435899999999996,0.0,-0.39697009
0.0,1770,266,0.1740815,0.0556142,0.0,-0.39621258
0.0,1770,267,0.1763245,0.05578835,0.0,-0.39542738
0.0,1770,268,0.1785705,0.055958350000000004,0.0,-0.39461097
0.0,1770,269,0.180819,0.05612425,0.0,-0.39379297
0.0,1770,270,0.18307,0.05628609999999999,0.0,-0.39293823
0.0,1770,271,0.18532300000000002,0.056443850000000004,0.0,-0.39210348
0.0,1770,272,0.1875775,0.0565976,0.0,-0.39119016
0.0,1770,273,0.189834,0.0567474,0.0,-0.39033965
0.0,1770,274,0.19209199999999998,0.05689325,0.0,-0.38941494
0.0,1770,275,0.19435049999999998,0.05703515,0.0,-0.38852415
0.0,1770,276,0.19661,0.05717315,0.0,-0.38756951
0.0,1770,277,0.19887,0.0573073,0.0,-0.38666484
0.0,1770,278,0.20133800000000002,0.0574492,0.0,-0.38550061
0.0,1770,279,0.2040135,0.0575982,0.0,-0.38440214
0.0,1770,280,0.206689,0.057742,0.0,-0.3832754
0.0,1770,281,0.2093645,0.0578807,0.0,-0.38203503
0.0,1770,282,0.21204,0.05801435,0.0,-0.38090013
0.0,1770,283,0.21471600000000002,0.05814299999999999,0.0,-0.37964014
0.0,1770,284,0.21739150000000002,0.05826674999999999,0.0,-0.37839229
0.0,1770,285,0.220067,0.05838565,0.0,-0.37717268
0.0,1770,286,0.22274249999999998,0.058499800000000005,0.0,-0.37586177
0.0,1770,287,0.225418,0.0586093,0.0,-0.37464104
0.0,1770,288,0.2280935,0.05871415,0.0,-0.37332069
0.0,1770,289,0.230769,0.05881445,0.0,-0.37204993
0.0,1770,290,0.233445,0.0589103,0.0,-0.37074045
0.0,1770,291,0.2361205,0.059001700000000004,0.0,-0.36940682
0.0,1770,292,0.238796,0.0590887,0.0,-0.3681258
0.0,1770,293,0.24147149999999998,0.0591714,0.0,-0.3667191
0.0,1770,294,0.244147,0.0592499,0.0,-0.36542827
0.0,1770,295,0.24682300000000001,0.0593242,0.0,-0.36406186
0.0,1770,296,0.24949849999999998,0.059394300000000004,0.0,-0.36268006
0.0,1770,297,0.252174,0.059460349999999995,0.0,-0.36130612
0.0,1770,298,0.2548495,0.0595224,0.0,-0.35992622
0.0,1770,299,0.257525,0.05958045,0.0,-0.35856707
0.0,1770,300,0.2602005,0.05963455,0.0,-0.35713435
0.0,1770,301,0.262876,0.05968475,0.0,-0.35575435
0.0,1770,302,0.265552,0.05973115,0.0,-0.35431727
0.0,1770,303,0.2682275,0.0597738,0.0,-0.35290953
0.0,1770,304,0.270903,0.059812699999999996,0.0,-0.35149884
0.0,1770,305,0.2735785,0.059847899999999996,0.0,-0.35006336
0.0,1770,306,0.276254,0.0598795,0.0,-0.3486369
0.0,1770,307,0.27893,0.05990745,0.0,-0.347195
0.0,1770,308,0.2816055,0.059931849999999995,0.0,-0.34574245
0.0,1770,309,0.284281,0.05995275,0.0,-0.34429473
0.0,1770,310,0.2869565,0.05997015,0.0,-0.34282561
0.0,1770,311,0.289632,0.05998415,0.0,-0.34136836
0.0,1770,312,0.2923075,0.05999475,0.0,-0.33990825
0.0,1770,313,0.294983,0.060002,0.0,-0.33843421
0.0,1770,314,0.297659,0.0600059,0.0,-0.33695827
0.0,1770,315,0.3003345,0.06000655,0.0,-0.33547976
0.0,1770,316,0.30301,0.060004,0.0,-0.33399668
0.0,1770,317,0.3056855,0.0599982,0.0,-0.33253367
0.0,1770,318,0.308361,0.05998925,0.0,-0.33103217
0.0,1770,319,0.311037,0.05997715,0.0,-0.3295401
0.0,1770,320,0.3137125,0.05996195,0.0,-0.32805633
0.0,1770,321,0.316388,0.0599437,0.0,-0.32652963
0.0,1770,322,0.3190635,0.05992245,0.0,-0.32505492
0.0,1770,323,0.321739,0.0598982,0.0,-0.32354343
0.0,1770,324,0.324415,0.059870950000000006,0.0,-0.32203656
0.0,1770,325,0.3270905,0.059840800000000006,0.0,-0.320532
0.0,1770,326,0.329766,0.05980775000000001,0.0,-0.31901622
0.0,1770,327,0.3324415,0.0597718,0.0,-0.3175087
0.0,1770,328,0.335117,0.059733,0.0,-0.31598333
0.0,1770,329,0.3377925,0.05969145000000001,0.0,-0.31447044
0.0,1770,330,0.340468,0.0596471,0.0,-0.31294839
0.0,1770,331,0.343144,0.0596,0.0,-0.31143849
0.0,1770,332,0.3458195,0.0595502,0.0,-0.3099237
0.0,1770,333,0.348495,0.05949765,0.0,-0.30840094
0.0,1770,334,0.3511705,0.059442449999999994,0.0,-0.3068718
0.0,1770,335,0.353846,0.05938465,0.0,-0.30534097
0.0,1770,336,0.356522,0.05932425,0.0,-0.30383785
0.0,1770,337,0.3591975,0.05926125,0.0,-0.30232684
0.0,1770,338,0.361873,0.05919565,0.0,-0.30077092
0.0,1770,339,0.3645485,0.0591275,0.0,-0.29925786
0.0,1770,340,0.367224,0.059056899999999996,0.0,-0.29769407
0.0,1770,341,0.3698995,0.0589838,0.0,-0.29620102
0.0,1770,342,0.372575,0.05890825000000001,0.0,-0.2946421
0.0,1770,343,0.375251,0.0588303,0.0,-0.2931356
0.0,1770,344,0.3779265,0.05874985,0.0,-0.29161447
0.0,1770,345,0.380602,0.05866705,0.0,-0.29004284
0.0,1770,346,0.3832775,0.05858189999999999,0.0,-0.28854967
0.0,1770,347,0.385953,0.0584944,0.0,-0.28697469
0.0,1770,348,0.388629,0.0584046,0.0,-0.28546878
0.0,1770,349,0.3913045,0.0583125,0.0,-0.283953
0.0,1770,350,0.39398,0.05821815,0.0,-0.28239874
0.0,1770,351,0.3966555,0.058121500000000006,0.0,-0.28089229
0.0,1770,352,0.399331,0.05802265,0.0,-0.27934806
0.0,1770,353,0.4020065,0.057921600000000004,0.0,-0.27783484
0.0,1770,354,0.404682,0.0578183,0.0,-0.27628959
0.0,1770,355,0.407358,0.057712849999999996,0.0,-0.27475219
0.0,1770,356,0.4100335,0.0576053,0.0,-0.2732524
0.0,1770,357,0.412709,0.057495599999999994,0.0,-0.27168728
0.0,1770,358,0.4153845,0.0573838,0.0,-0.2701973
0.0,1770,359,0.41806,0.0572699,0.0,-0.26863329
0.0,1770,360,0.420736,0.057153899999999994,0.0,-0.2671234
0.0,1770,361,0.4234115,0.0570359,0.0,-0.26560724
0.0,1770,362,0.426087,0.056915850000000004,0.0,-0.2640494
0.0,1770,363,0.4287625,0.056793750000000004,0.0,-0.26255631
0.0,1770,364,0.431438,0.0566697,0.0,-0.26099812
0.0,1770,365,0.434114,0.05654365,0.0,-0.25949692
0.0,1770,366,0.4367895,0.05641565,0.0,-0.25797807
